cidades,vitimas,pib_2022,ibge_mortalidade_inf_2022,remun_real_media_2022,ibge_matricula_ef_anosfinais_2022,ibge_matricula_em_2022,população_2022,ibge_conect_rede_de_esgoto_2022,pop_graduada_2022,idade_media_2022,pop_preta_parda_2022,,pop_empregada_2022,,auxilio_gov_2022
timbauba,306,676619,8.5,2139.36,2759,2157,46147,64.98%,3272,36,30608,66,7967,17,4705
toritama,294,659972,11.96,2025.35,2757,1356,41137,77.68%,1333,30,24274,59,5708,14,1673
tracunhaem,94,158046,17.05,2290.90,830,325,13867,27.01%,537,34,10631,77,794,6,344
trindade,250,371378,30.13,2115.10,2214,1093,30321,40.29%,1276,31,23100,76,3071,10,1130
triunfo,77,146160,5.24,2283.60,904,547,14705,20.92%,1221,38,9633,66,1221,8,454
tupanatinga,81,215008,11.02,2114.73,1607,711,26937,34.65%,807,32,18937,70,1583,6,1864
tuparetama,69,83444, 8.55,2366.63,536,443,8005,61.63%,600,37,4815,60,443,6,323
venturosa,118,234763,8.3,4185.86,1032,685,17251,56.74%,988,34,10798,63,1076,6,854
verdejante,53,77795,22.22,2280.19,525,340,9169,37.09%,545,35,7595,83,691,8,197
vertente_do_lerio,50,71194,21.51,1970.57,489,243,7558,11.22%,214,36,4172,55,588,8,147
vertentes,172,181807, 6.87,2272.91,1023,433,21959,52.14%,889,34,12817,58,1125,5,266
vicencia,162,500018,06.02,2234.06,1564,892,26359,47.2%,1556,34,17951,68,4274,16,805
vitoria_de_santo_antao,1346,3679021,8.56,2568.77,1090,3326,134084,69.74%,10995,35,85799,64,28206,21,7684
xexeu,67,133162,11.05,2244.27,908,505,11611,75.42%,600,33,8541,74,1717,15,520
